dataset,k,f1,precision,recall,roc_auc,avg_precision,rho_hat,runtime_sec
speech,5,0.027551659361302442,0.014322916666666666,0.36065573770491804,0.48539966082532504,0.02076582527446015,0.4,116.45389294624329
speech,6,0.028534370946822308,0.014854827819041188,0.36065573770491804,0.48539966082532504,0.02076582527446015,0.4,115.07146954536438
speech,7,0.025486250838363516,0.013286713286713287,0.3114754098360656,0.48539966082532504,0.02076582527446015,0.4,118.95612692832947
speech,8,0.026685393258426966,0.013939838591342627,0.3114754098360656,0.48539966082532504,0.02076582527446015,0.4,120.69251132011414
thyroid,4,0.15590947191953058,0.08454545454545455,1.0,0.9645532475807181,0.367279059539677,0.25574030280937177,33.613430976867676
thyroid,5,0.17068645640074212,0.09340101522842639,0.989247311827957,0.9645532475807181,0.367279059539677,0.25574030280937177,20.761991024017334
thyroid,6,0.19267015706806281,0.10672853828306264,0.989247311827957,0.9645532475807181,0.367279059539677,0.25574030280937177,34.2549262046814
thyroid,7,0.21930870083432658,0.12332439678284182,0.989247311827957,0.9645532475807181,0.367279059539677,0.25574030280937177,32.156227111816406
thyroid,8,0.23989569752281617,0.13649851632047477,0.989247311827957,0.9645532475807181,0.367279059539677,0.25574030280937177,33.24945139884949
vertebral,4,0.09174311926605505,0.06329113924050633,0.16666666666666666,0.35285714285714287,0.09278684574437297,0.27960879860045496,2.6380436420440674
vertebral,5,0.09900990099009901,0.07042253521126761,0.16666666666666666,0.35285714285714287,0.09278684574437297,0.27960879860045496,2.812480926513672
vertebral,6,0.08602150537634409,0.06349206349206349,0.13333333333333333,0.35285714285714287,0.09278684574437297,0.27960879860045496,2.5915653705596924
vertebral,7,0.024096385542168676,0.018867924528301886,0.03333333333333333,0.35285714285714287,0.09278684574437297,0.27960879860045496,2.607755422592163
vertebral,8,0.02564102564102564,0.020833333333333332,0.03333333333333333,0.35285714285714287,0.09278684574437297,0.27960879860045496,2.341492176055908
wbc,4,0.3619047619047619,0.2261904761904762,0.9047619047619048,0.9498466053087902,0.5352770386697862,0.19553008154490534,3.280113458633423
wbc,5,0.3917525773195876,0.25,0.9047619047619048,0.9498466053087902,0.5352770386697862,0.19553008154490534,3.147165298461914
wbc,6,0.38636363636363635,0.2537313432835821,0.8095238095238095,0.9498466053087902,0.5352770386697862,0.19553008154490534,3.3488950729370117
wbc,7,0.41975308641975306,0.2833333333333333,0.8095238095238095,0.9498466053087902,0.5352770386697862,0.19553008154490534,3.0509307384490967
wbc,8,0.425,0.288135593220339,0.8095238095238095,0.9498466053087902,0.5352770386697862,0.19553008154490534,3.1000070571899414
annthyroid,4,0.2805001689760054,0.1711340206185567,0.7771535580524345,0.8204042314343795,0.26038869755952965,0.29003835499651964,41.307788610458374
annthyroid,5,0.2784998143334571,0.17369152385363595,0.702247191011236,0.8204042314343795,0.26038869755952965,0.29003835499651964,39.08957099914551
annthyroid,6,0.2752143732135566,0.17597911227154048,0.6310861423220974,0.8204042314343795,0.26038869755952965,0.29003835499651964,39.12196969985962
annthyroid,7,0.2682060390763766,0.17578579743888242,0.5655430711610487,0.8204042314343795,0.26038869755952965,0.29003835499651964,41.87520790100098
annthyroid,8,0.2701092353525323,0.1837837837837838,0.5093632958801498,0.8204042314343795,0.26038869755952965,0.29003835499651964,41.314288854599
arrhythmia,4,0.45226130653266333,0.3383458646616541,0.6818181818181818,0.8059742502747683,0.43057496974925036,0.25312909813800716,5.548173427581787
arrhythmia,5,0.46994535519125685,0.36752136752136755,0.6515151515151515,0.8059742502747683,0.43057496974925036,0.25312909813800716,4.133893251419067
arrhythmia,6,0.48520710059171596,0.39805825242718446,0.6212121212121212,0.8059742502747683,0.43057496974925036,0.25312909813800716,3.9301817417144775
arrhythmia,7,0.4868421052631579,0.43023255813953487,0.5606060606060606,0.8059742502747683,0.43057496974925036,0.25312909813800716,5.461466312408447
arrhythmia,8,0.4925373134328358,0.4852941176470588,0.5,0.8059742502747683,0.43057496974925036,0.25312909813800716,4.374614953994751
breastw,4,0.9018867924528302,0.8213058419243986,1.0,0.9904067247163482,0.9785102786996902,0.4,6.906960725784302
breastw,5,0.9157088122605364,0.8445229681978799,1.0,0.9904067247163482,0.9785102786996902,0.4,4.794703006744385
breastw,6,0.9299610894941635,0.8690909090909091,1.0,0.9904067247163482,0.9785102786996902,0.4,8.043946504592896
breastw,7,0.9309664694280079,0.8805970149253731,0.9874476987447699,0.9904067247163482,0.9785102786996902,0.4,7.623624086380005
breastw,8,0.936,0.896551724137931,0.9790794979079498,0.9904067247163482,0.9785102786996902,0.4,5.107066631317139
