dataset,n_detectors,detectors,f1,precision,recall,roc_auc,runtime_sec
lympho,10,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA+DeepSVDD,0.5,0.3333333333333333,1.0,0.9953051643192489,1.6523993015289307
lympho,11,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA+DeepSVDD+LUNAR,0.5,0.3333333333333333,1.0,0.9941314553990611,2.407727003097534
glass,2,IsolationForest+LOF,0.15384615384615385,0.09302325581395349,0.4444444444444444,0.7436314363143632,0.24699759483337402
glass,3,IsolationForest+LOF+HBOS,0.11428571428571428,0.06557377049180328,0.4444444444444444,0.7176151761517615,0.2841832637786865
glass,4,IsolationForest+LOF+HBOS+COPOD,0.125,0.07042253521126761,0.5555555555555556,0.6953929539295394,0.5257818698883057
glass,5,IsolationForest+LOF+HBOS+COPOD+VAE,0.11904761904761904,0.06666666666666667,0.5555555555555556,0.6861788617886179,2.3325142860412598
glass,6,IsolationForest+LOF+HBOS+COPOD+VAE+KNN,0.06896551724137931,0.05,0.1111111111111111,0.7143631436314364,2.0296101570129395
glass,7,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD,0.07407407407407407,0.05555555555555555,0.1111111111111111,0.7111111111111111,2.317770481109619
glass,8,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE,0.06896551724137931,0.05,0.1111111111111111,0.7105691056910569,2.794590473175049
glass,9,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA,0.07142857142857142,0.05263157894736842,0.1111111111111111,0.7008130081300813,3.3342905044555664
glass,10,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA+DeepSVDD,0.07142857142857142,0.05263157894736842,0.1111111111111111,0.6986449864498645,2.828793525695801
glass,11,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA+DeepSVDD+LUNAR,0.07407407407407407,0.05555555555555555,0.1111111111111111,0.7046070460704608,3.270197629928589
ionosphere,2,IsolationForest+LOF,0.7203389830508474,0.7727272727272727,0.6746031746031746,0.8952380952380953,0.3961358070373535
ionosphere,3,IsolationForest+LOF+HBOS,0.7011070110701108,0.6551724137931034,0.753968253968254,0.8571781305114639,0.36309027671813965
ionosphere,4,IsolationForest+LOF+HBOS+COPOD,0.6296296296296297,0.5902777777777778,0.6746031746031746,0.8334391534391534,0.3621180057525635
ionosphere,5,IsolationForest+LOF+HBOS+COPOD+VAE,0.6741573033707865,0.6382978723404256,0.7142857142857143,0.8487477954144621,3.9036011695861816
ionosphere,6,IsolationForest+LOF+HBOS+COPOD+VAE+KNN,0.6539923954372624,0.6277372262773723,0.6825396825396826,0.871252204585538,3.760211944580078
ionosphere,7,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD,0.6666666666666666,0.9420289855072463,0.5158730158730159,0.9046560846560847,3.91633939743042
ionosphere,8,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE,0.7953667953667953,0.7744360902255639,0.8174603174603174,0.8951322751322751,3.6872050762176514
ionosphere,9,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA,0.7215686274509804,0.7131782945736435,0.7301587301587301,0.8815873015873016,4.190012216567993
ionosphere,10,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA+DeepSVDD,0.712,0.717741935483871,0.7063492063492064,0.8816931216931216,3.8116586208343506
ionosphere,11,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA+DeepSVDD+LUNAR,0.7076923076923077,1.0,0.5476190476190477,0.902716049382716,4.0624895095825195
letter,2,IsolationForest+LOF,0.2074788902291918,0.11796982167352538,0.86,0.7298666666666667,0.37552332878112793
letter,3,IsolationForest+LOF+HBOS,0.1723625557206538,0.1012216404886562,0.58,0.66974,0.4066636562347412
letter,4,IsolationForest+LOF+HBOS+COPOD,0.12602739726027398,0.07301587301587302,0.46,0.6269199999999999,0.8208966255187988
letter,5,IsolationForest+LOF+HBOS+COPOD+VAE,0.16614420062695925,0.09851301115241635,0.53,0.67422,13.129307270050049
letter,6,IsolationForest+LOF+HBOS+COPOD+VAE+KNN,0.16944024205748864,0.09982174688057041,0.56,0.7347066666666666,14.62786340713501
letter,7,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD,0.23529411764705882,0.14414414414414414,0.64,0.7620733333333333,15.42190432548523
letter,8,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE,0.19322033898305085,0.11632653061224489,0.57,0.7436133333333333,14.857718229293823
letter,9,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA,0.20994475138121546,0.12866817155756208,0.57,0.7160066666666666,14.438593626022339
letter,10,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA+DeepSVDD,0.18450184501845018,0.11312217194570136,0.5,0.7058466666666666,14.209845304489136
letter,11,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA+DeepSVDD+LUNAR,0.20934579439252338,0.12873563218390804,0.56,0.7381599999999999,14.165626287460327
mammography,2,IsolationForest+LOF,0.08378050891466159,0.04386441906833424,0.9307692307692308,0.8680990711202192,0.8993339538574219
mammography,3,IsolationForest+LOF+HBOS,0.1024200518582541,0.05425824175824176,0.9115384615384615,0.8744741160149015,0.8782515525817871
mammography,4,IsolationForest+LOF+HBOS+COPOD,0.10277717034769299,0.05448643635520519,0.9038461538461539,0.8883291431629802,0.8871726989746094
mammography,5,IsolationForest+LOF+HBOS+COPOD+VAE,0.10074074074074074,0.053303471444568866,0.9153846153846154,0.8877002654948274,50.79492545127869
mammography,6,IsolationForest+LOF+HBOS+COPOD+VAE+KNN,0.10069811719906918,0.053279605999552275,0.9153846153846154,0.8878428721329022,56.58141279220581
mammography,7,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD,0.09933774834437085,0.05249343832020997,0.9230769230769231,0.8879847745406658,89.14510083198547
mammography,8,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE,0.09933774834437085,0.05249343832020997,0.9230769230769231,0.8877537869984999,56.480321645736694
mammography,9,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA,0.10084033613445378,0.05333333333333334,0.9230769230769231,0.8883252698962669,78.02813339233398
mammography,10,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA+DeepSVDD,0.10193246973879805,0.05394470667565745,0.9230769230769231,0.8878301959872957,98.39895510673523
mammography,11,IsolationForest+LOF+HBOS+COPOD+VAE+KNN+MCD+INNE+PCA+DeepSVDD+LUNAR,0.10064462466209191,0.05319850516597054,0.9307692307692308,0.8874558975767436,58.896080017089844
