dataset,scheme,k,f1,precision,recall,roc_auc,avg_precision,rho_hat,runtime_sec
optdigits,equal,6,0.05716837874050915,0.030636668262326472,0.4266666666666667,0.6325003289906567,0.03701132476078715,0.4,48.01667237281799
optdigits,agreement,6,0.05405405405405406,0.029021151008362025,0.3933333333333333,0.5870456639031452,0.032085885319893315,0.4,52.514031648635864
optdigits,ncl,6,0.053955189757658895,0.028964162984781543,0.3933333333333333,0.5826135017765495,0.031700994904107986,0.4,52.25331473350525
pendigits,em,6,0.12967581047381546,0.06933333333333333,1.0,0.9198221473690643,0.2250333519460362,0.342065062705394,41.59107518196106
pendigits,equal,6,0.13164556962025317,0.07046070460704607,1.0,0.9215254386165914,0.20947464896174953,0.342065062705394,41.55211400985718
pendigits,agreement,6,0.1312026913372582,0.0702070207020702,1.0,0.9263918486438593,0.20036257711820113,0.342065062705394,41.23808979988098
pendigits,ncl,6,0.13181242078580482,0.07055630936227951,1.0,0.926515012641018,0.19440679535387817,0.342065062705394,63.56452298164368
pima,em,6,0.5168539325842697,0.518796992481203,0.5149253731343284,0.6839925373134328,0.503226456756543,0.3502240917409587,7.927403211593628
pima,equal,6,0.5168539325842697,0.518796992481203,0.5149253731343284,0.6837611940298508,0.5014817206103371,0.3502240917409587,8.031290292739868
pima,agreement,6,0.5103189493433395,0.5132075471698113,0.5074626865671642,0.6828432835820896,0.5079974379107801,0.3502240917409587,8.371741771697998
pima,ncl,6,0.5093632958801498,0.5112781954887218,0.5074626865671642,0.6826492537313433,0.5075114148039264,0.3502240917409587,8.248775243759155
satellite,em,6,0.6521861777150917,0.7660702451954937,0.5677799607072691,0.7254934033498415,0.7076212814634141,0.2540019154187548,60.33318901062012
satellite,equal,6,0.6483734087694484,0.7645096731154103,0.56286836935167,0.7223124249974655,0.7005845580895036,0.2540019154187548,67.08116626739502
satellite,agreement,6,0.6483916083916084,0.7530864197530864,0.5692534381139489,0.7300211335760807,0.7090545147109546,0.2540019154187548,62.2837028503418
satellite,ncl,6,0.6483916083916084,0.7530864197530864,0.5692534381139489,0.7302638660063392,0.7089774592590926,0.2540019154187548,63.52436852455139
satimage-2,em,6,0.14900314795383002,0.08049886621315193,1.0,0.9971963673176534,0.8669914098504538,0.18772464287874877,57.76426982879639
satimage-2,equal,6,0.15795328142380421,0.08574879227053141,1.0,0.9967639051335226,0.8468476407190959,0.18772464287874877,54.25283861160278
satimage-2,agreement,6,0.13840155945419103,0.0743455497382199,1.0,0.9973536262937007,0.8951777110933042,0.18772464287874877,54.05123782157898
satimage-2,ncl,6,0.13853658536585367,0.07442348008385745,1.0,0.997274996805677,0.8886567927683072,0.18772464287874877,56.209062337875366
speech,em,6,0.028460543337645538,0.014814814814814815,0.36065573770491804,0.48539966082532504,0.02076582527446015,0.4,123.74907064437866
speech,equal,6,0.028534370946822308,0.014854827819041188,0.36065573770491804,0.48733973996608254,0.02123741070873849,0.4,132.6203875541687
speech,agreement,6,0.025974025974025976,0.013522650439486139,0.32786885245901637,0.4862996042962125,0.021325939864997923,0.4,137.94293308258057
speech,ncl,6,0.02599090318388564,0.013531799729364006,0.32786885245901637,0.4868061051441492,0.02147834091272647,0.4,135.21396851539612
thyroid,em,6,0.19267015706806281,0.10672853828306264,0.989247311827957,0.9645532475807181,0.367279059539677,0.25574030280937177,35.11259937286377
thyroid,equal,6,0.19267015706806281,0.10672853828306264,0.989247311827957,0.9632964778297048,0.35983094541187016,0.25574030280937177,32.464155435562134
thyroid,agreement,6,0.18604651162790697,0.10267857142857142,0.989247311827957,0.9706646558350651,0.36334117042021996,0.25574030280937177,34.47607946395874
thyroid,ncl,6,0.18813905930470348,0.103954802259887,0.989247311827957,0.9711439819726608,0.36570424425126663,0.25574030280937177,36.42219924926758
vertebral,em,6,0.08602150537634409,0.06349206349206349,0.13333333333333333,0.35285714285714287,0.09278684574437297,0.27960879860045496,2.8885443210601807
vertebral,equal,6,0.08602150537634409,0.06349206349206349,0.13333333333333333,0.3503174603174603,0.09247240799121972,0.27960879860045496,2.7908945083618164
vertebral,agreement,6,0.06451612903225806,0.047619047619047616,0.1,0.34746031746031747,0.09190086891694123,0.27960879860045496,2.9340829849243164
vertebral,ncl,6,0.06451612903225806,0.047619047619047616,0.1,0.3476190476190476,0.09191674368286855,0.27960879860045496,3.1300482749938965
wbc,em,6,0.38636363636363635,0.2537313432835821,0.8095238095238095,0.9498466053087902,0.5352770386697862,0.19553008154490534,4.3143227100372314
wbc,equal,6,0.38636363636363635,0.2537313432835821,0.8095238095238095,0.9494464452447646,0.5348733970535278,0.19553008154490534,3.045642375946045
wbc,agreement,6,0.40860215053763443,0.2638888888888889,0.9047619047619048,0.949046285180739,0.5361669452455144,0.19553008154490534,4.080145835876465
wbc,ncl,6,0.40860215053763443,0.2638888888888889,0.9047619047619048,0.9494464452447646,0.5368952892269806,0.19553008154490534,4.395130395889282
annthyroid,em,6,0.2752143732135566,0.17597911227154048,0.6310861423220974,0.8204042314343795,0.26038869755952965,0.29003835499651964,67.34721779823303
annthyroid,equal,6,0.2752143732135566,0.17597911227154048,0.6310861423220974,0.8126054178451553,0.2520830282701744,0.29003835499651964,64.20741772651672
annthyroid,agreement,6,0.327683615819209,0.2088477366255144,0.7602996254681648,0.8682913235143739,0.29141690861288716,0.29003835499651964,42.34462547302246
annthyroid,ncl,6,0.373134328358209,0.2360834990059642,0.8895131086142322,0.8722341335257122,0.29588244071677844,0.29003835499651964,65.57083177566528
arrhythmia,em,6,0.4777777777777778,0.37719298245614036,0.6515151515151515,0.8059742502747683,0.43057496974925036,0.25312909813800716,5.707758903503418
arrhythmia,equal,6,0.46994535519125685,0.36752136752136755,0.6515151515151515,0.8033050714397865,0.42531298842333276,0.25312909813800716,5.712508916854858
arrhythmia,agreement,6,0.46994535519125685,0.36752136752136755,0.6515151515151515,0.8050321871565395,0.4283493369537222,0.25312909813800716,6.001307487487793
arrhythmia,ncl,6,0.4745762711864407,0.3783783783783784,0.6363636363636364,0.8036583451091224,0.42661174327463536,0.25312909813800716,4.138140678405762
breastw,em,6,0.9330708661417323,0.8810408921933085,0.9916317991631799,0.9904067247163482,0.9785102786996902,0.4,6.947509050369263
breastw,equal,6,0.9299610894941635,0.8690909090909091,1.0,0.9887198914395567,0.9740251136029439,0.4,7.639724016189575
breastw,agreement,6,0.9224806201550387,0.8592057761732852,0.99581589958159,0.9892947340646085,0.9770049890825554,0.4,7.457884311676025
breastw,ncl,6,0.9224806201550387,0.8592057761732852,0.99581589958159,0.9891156847223792,0.9766185970663981,0.4,7.665484666824341
